Kategoria: Wszystko

Tydzień,bucket hat: (Cały świat)
2019-12-29,30
2020-01-05,25
2020-01-12,29
2020-01-19,29
2020-01-26,28
2020-02-02,29
2020-02-09,31
2020-02-16,34
2020-02-23,32
2020-03-01,33
2020-03-08,31
2020-03-15,26
2020-03-22,29
2020-03-29,29
2020-04-05,37
2020-04-12,36
2020-04-19,42
2020-04-26,46
2020-05-03,52
2020-05-10,48
2020-05-17,59
2020-05-24,75
2020-05-31,69
2020-06-07,76
2020-06-14,72
2020-06-21,80
2020-06-28,77
2020-07-05,79
2020-07-12,81
2020-07-19,90
2020-07-26,92
2020-08-02,89
2020-08-09,81
2020-08-16,73
2020-08-23,59
2020-08-30,54
2020-09-06,52
2020-09-13,49
2020-09-20,46
2020-09-27,51
2020-10-04,49
2020-10-11,47
2020-10-18,48
2020-10-25,45
2020-11-01,41
2020-11-08,48
2020-11-15,48
2020-11-22,55
2020-11-29,52
2020-12-06,52
2020-12-13,48
2020-12-20,52
2020-12-27,48
2021-01-03,41
2021-01-10,45
2021-01-17,41
2021-01-24,36
2021-01-31,44
2021-02-07,41
2021-02-14,44
2021-02-21,43
2021-02-28,49
2021-03-07,47
2021-03-14,48
2021-03-21,53
2021-03-28,60
2021-04-04,58
2021-04-11,54
2021-04-18,58
2021-04-25,58
2021-05-02,61
2021-05-09,57
2021-05-16,68
2021-05-23,71
2021-05-30,85
2021-06-06,90
2021-06-13,97
2021-06-20,85
2021-06-27,99
2021-07-04,99
2021-07-11,83
2021-07-18,85
2021-07-25,74
2021-08-01,65
2021-08-08,63
2021-08-15,59
2021-08-22,56
2021-08-29,55
2021-09-05,54
2021-09-12,47
2021-09-19,49
2021-09-26,44
2021-10-03,46
2021-10-10,44
2021-10-17,41
2021-10-24,44
2021-10-31,42
2021-11-07,43
2021-11-14,42
2021-11-21,49
2021-11-28,53
2021-12-05,48
2021-12-12,48
2021-12-19,50
2021-12-26,49
2022-01-02,51
2022-01-09,44
2022-01-16,41
2022-01-23,45
2022-01-30,46
2022-02-06,46
2022-02-13,43
2022-02-20,44
2022-02-27,45
2022-03-06,44
2022-03-13,50
2022-03-20,57
2022-03-27,58
2022-04-03,62
2022-04-10,65
2022-04-17,66
2022-04-24,67
2022-05-01,73
2022-05-08,75
2022-05-15,80
2022-05-22,82
2022-05-29,90
2022-06-05,90
2022-06-12,95
2022-06-19,100
2022-06-26,92
2022-07-03,94
2022-07-10,100
2022-07-17,98
2022-07-24,82
2022-07-31,79
2022-08-07,81
2022-08-14,71
2022-08-21,59
2022-08-28,54
2022-09-04,47
2022-09-11,45
2022-09-18,43
2022-09-25,41
2022-10-02,39
2022-10-09,38
2022-10-16,36
2022-10-23,37
2022-10-30,34
2022-11-06,39
2022-11-13,40
2022-11-20,48
2022-11-27,46
2022-12-04,46
2022-12-11,45
2022-12-18,45
2022-12-25,48
2023-01-01,42
2023-01-08,42
2023-01-15,40
2023-01-22,39
2023-01-29,38
2023-02-05,40
2023-02-12,37
2023-02-19,40
2023-02-26,40
2023-03-05,38
2023-03-12,42
2023-03-19,43
2023-03-26,45
2023-04-02,49
2023-04-09,52
2023-04-16,51
2023-04-23,57
2023-04-30,68
2023-05-07,68
2023-05-14,66
2023-05-21,73
2023-05-28,83
2023-06-04,83
2023-06-11,94
2023-06-18,85
2023-06-25,81
2023-07-02,86
2023-07-09,81
2023-07-16,72
2023-07-23,68
2023-07-30,57
2023-08-06,56
2023-08-13,55
2023-08-20,48
2023-08-27,43
2023-09-03,45
2023-09-10,41
2023-09-17,39
2023-09-24,37
2023-10-01,39
2023-10-08,34
2023-10-15,35
2023-10-22,37
2023-10-29,33
2023-11-05,37
2023-11-12,36
2023-11-19,38
2023-11-26,38
2023-12-03,41
2023-12-10,40
2023-12-17,40
2023-12-24,35
2023-12-31,32
